,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
412,981,IN BPQ,Pratapganj,Pratapganj,BR,1-3-----,RL,1401.0,2618N 08658E,26.18,86.58
413,982,IN PTG,Pratapgarh,Pratapgarh,RJ,--3-----,RL,1201.0,2716N 07610E,27.16,76.1
414,985,IN PUD,Puducherry,Puducherry,PY,--3-----,RL,1201.0,1155N 07947E,11.55,79.47
415,986,IN PUK,Pudukkottai,Pudukkottai,TN,--3-----,RL,1201.0,1023N 07849E,10.23,78.49
416,994,IN TEY,Puzhal,Puzhal,TN,--3-----,RL,1401.0,1310N 08012E,13.1,80.12
417,995,IN PYL,Pyala,Pyala,HR,--3-----,RL,2001.0,2826N 07731E,28.26,77.31
418,998,IN QUT,Quthbullapur,Quthbullapur,TG,--3-----,AA,1601.0,1730N 07827E,17.3,78.27
419,1001,IN RBL,Rae Bareli,Rae Bareli,UP,--3-----,RL,901.0,2613N 08114E,26.13,81.14
420,1002,IN RAR,Raichur,Raichur,KA,--3-----,RL,901.0,1612N 07722W,16.12,77.22
421,1004,IN RA7,Raigad,Raigad,MH,--3-----,RL,1301.0,1839N 07252E,18.39,72.52
422,1006,IN RIG,Raigarh,Raigarh,CH,--3-----,RL,1307.0,3042N 07645E,30.42,76.45
423,1007,IN RGA,Raigarh,Raigarh,MH,--3-----,RL,901.0,2154N 08324E,21.54,83.24
424,1010,IN RGP,Rairangpur,Rairangpur,OR,--3-----,RL,1207.0,2216N 08610E,22.16,86.1
425,1011,IN RAI,Raisen,Raisen,MP,--3-----,RL,901.0,2320N 07748E,23.2,77.48
426,1012,IN RNN,Raj Nandgaon,Raj Nandgaon,CH,--3-----,RL,1307.0,2106N 08101E,21.06,81.01
427,1015,IN RAH,Rajgarh,Rajgarh,MP,--3-----,RL,1201.0,2240N 07457E,22.4,74.57
428,1016,IN RIR,Rajgir,Rajgir,BR,--3-----,AA,1801.0,2502N 08525E,25.02,85.25
429,1017,IN RAJ,Rajkot,Rajkot,GJ,-234-6--,AI,407.0,2217N 07047E,22.17,70.47
430,1021,IN RAD,Rajsamand,Rajsamand,RJ,--3-----,RL,1201.0,2504N 07353E,25.04,73.53
431,1022,IN RJU,Rajula,Rajula,GJ,--3--6--,RL,607.0,2102N 07126E,21.02,71.26
432,1024,IN RMP,Ramanathapuram,Ramanathapuram,TN,--3-----,RL,1201.0,0923N 07850E,9.23,78.5
433,1025,IN RAB,Ramban,Ramban,JK,--3-----,RL,1201.0,3315N 07515E,33.15,75.15
434,1027,IN RAG,Ramgarh,Ramgarh,JH,--3-----,RL,1201.0,3254N 07447E,32.54,74.47
